conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;
1902999676296761503,Fri Mar 21 08:24:13 +0000 2025,19689,jangan diam kita punya hak suara !! #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri #TolakRUUKejaksaan https://t.co/nwFGBgbVDj,1902999676296761503,https://pbs.twimg.com/media/GmjQHvGboAAg1jB.jpg,,in,,180,2654,15147,https://x.com/ppnara_blossom/status/1902999676296761503,1618546598673547264,ppnara_blossom;;
1902602563729682856,Thu Mar 20 06:06:14 +0000 2025,81034,Pestanya si anjing si tikus dan si babi di sisi yang terang. #IndonesiaGelap #PeringatanDarurat https://t.co/XwU5QHcezv,1902602563729682856,https://pbs.twimg.com/media/Gmdm08_bMAAgBfH.jpg,,in,Indonesia,302,334,38295,https://x.com/muitsuyu/status/1902602563729682856,989722378161668097,muitsuyu;;
1902916817905193124,Fri Mar 21 02:54:58 +0000 2025,36745,Yuk kpopers mulai fokus lagi #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI https://t.co/QZXj7rnfJH,1902916817905193124,https://pbs.twimg.com/media/GmiEwhlaEAAn3fb.jpg,,in,I miss Jaehyun,203,2694,14092,https://x.com/peachymgvrs/status/1902916817905193124,1212223160931586048,peachymgvrs;;
"1902753855479353446,Thu Mar 20 16:07:25 +0000 2025,8020,Alvin aja speak up dan bantu jelasin ke masyarakat pelawak gini otak sama empatinya masih ada kalau seleb tiktok lu itu masih penyepong omke ga omke gas berarti otak lu di pantat sih kata gua. #TolakRUUTNI #TolakRevisiUUTNI #IndonesiaGelap https://t.co/mNTLr4krHu,1902753855479353446,https://pbs.twimg.com/media/GmfwjEmbwAEzXr_.jpg,,in,""Olympus, pansexual. Dnfwc."",33,84,1925,https://x.com/kbacklight/status/1902753855479353446,1519374452819390465,kbacklight";;
1902645265502265459,Thu Mar 20 08:55:55 +0000 2025,50260,perempuan punya hak suara perempuan bisa bersuara perempuan mau bersuara perempuan harus bersuara. PEREMPUAN MENOLAK REVISI UU TNI PEREMPUAN MELAWAN #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI https://t.co/57KarpVcqC,1902645265502265459,https://pbs.twimg.com/media/GmeNx_laQAAvRLK.jpg,,in,relationsea 🦋🦀,346,1806,39444,https://x.com/baymaxsad/status/1902645265502265459,1254922651534897152,baymaxsad;;
"1902574682009895064,Thu Mar 20 04:15:26 +0000 2025,21086,wallahi we re finished #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap https://t.co/bBhwO1z5pc,1902574682009895064,https://pbs.twimg.com/media/GmdNldPa8AIc51a.jpg,,en,""Gangnam-gu, Seoul"",50,860,8657,https://x.com/xxrncies/status/1902574682009895064,1531894548825137152,xxrncies";;
"1902572648678502477,Thu Mar 20 04:42:22 +0000 2025,15795,@jorgianaaa Instansi mana lagi yang bisa dipercaya. #IndonesiaGelap https://t.co/J67r2nmPay,1902581457044001195,https://pbs.twimg.com/media/GmdTvqtbwAATLuo.jpg,jorgianaaa,in,""North Sumatra, Medan"",95,51,3403,https://x.com/Irfan5yah_Putra/status/1902581457044001195,224167637,Irfan5yah_Putra";;
1902703793680322650,Thu Mar 20 12:48:29 +0000 2025,14367,Siapapun yang lihat tulisan gua saat ini semoga kalian ada di jalan yang sama dengan gua: mencari keadilan. #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #ArtistBersuara #KembalikanTNIkeBarak https://t.co/cFi3EvkGbF,1902703793680322650,https://pbs.twimg.com/media/GmfDBEtbwAAlnsn.jpg,,in,work(s) & call center:,71,821,8325,https://x.com/kejengkangx/status/1902703793680322650,1417950001418829830,kejengkangx;;
1902981826324635656,Fri Mar 21 07:13:17 +0000 2025,28742,GUYS AYO BERISIK SEBELUM KEBIJAKAN INTERNET &amp; SOSMED KITA DI BATASI! INI ADA DI RUU AYO PLIS BERISIK! THIS IS OUR LAST CHANCE FIGHT LIKE THIS OUR LAST DAY! #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri #TolakRUUKejaksaan https://t.co/v6QYfRLe66,1902981826324635656,https://pbs.twimg.com/media/Gmi_4hVaEAIlS1_.png,,in,heartlypoet,725,3193,25348,https://x.com/crankykay/status/1902981826324635656,1873689147074068480,crankykay;
1902719708748800320,Thu Mar 20 13:51:44 +0000 2025,13164,my country is in a dangerous situation when military officials are now be able to have double positions both in government and military and now civilians are tortured. pray for Indonesia. #IndonesiaGelap #TolakRevisiUUTNI #TolakUUTNI https://t.co/V6VvqVPg7K,1902719708748800320,https://pbs.twimg.com/amplify_video_thumb/1902660140115087360/img/6UnuYBlHT-IaaM4J.jpg,,en,#AlwaysWithILLIT,51,455,6731,https://x.com/parkistp/status/1902719708748800320,1680769480635592704,parkistp;;
1903082049948487981,Fri Mar 21 13:51:32 +0000 2025,5579,JANGAN KENDOR!!KALO BUKAN KITA YANG NGELAWAN MAU SIAPA LAGI?!! #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI https://t.co/QvgjPIbTaD,1903082049948487981,https://pbs.twimg.com/media/GmkbCVLaEAEp_ri.jpg,,in,,41,1093,4633,https://x.com/fallforseungmin/status/1903082049948487981,1047655779178704897,fallforseungmin;;
1902954871533535669,Fri Mar 21 05:26:11 +0000 2025,4790,Indonesia makin gak kondusif kacau balau. ‼️Naikinn ht jangan tutup mata‼️ ‼️HELP RT LIKE AND REPLY‼️ #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI https://t.co/5tBXxOrMRC,1902954871533535669,https://pbs.twimg.com/media/GminXVUaEAQSLY6.jpg,,in,she/her | 05L,43,1441,4302,https://x.com/valdacimolnrvt/status/1902954871533535669,1889726264988360704,valdacimolnrvt;;
1902705816953614370,Thu Mar 20 12:56:31 +0000 2025,8298,ini gila banget sih. semoga teman2 mahasiswa dan semuanya yang lagi demo di kasih kekuatan ya.... sakit hati banget gua sumpah #IndonesiaGelap #TolakRevisiUUTNI #PeringatanDarurat #TolakUUTNI https://t.co/N1ai05hYtb,1902705816953614370,https://pbs.twimg.com/amplify_video_thumb/1902705682752933888/img/nRZw80ATPPFMnUPq.jpg,,in,,43,181,3019,https://x.com/habibanonogal/status/1902705816953614370,1547608968939204609,habibanonogal;;
1902675086617751690,Thu Mar 20 10:54:25 +0000 2025,177240,POLISI KONTOL RAKYAT LU GINIIN? LU PAKE SENJATA AJG!? KITA CUMA MAU ASPIRASIIN SUARA RAKYAT DOANG KONTOL #IndonesiaGelap #TolakRevisiUUTNI #TolakDwifungsiABRI #ACAB https://t.co/38sSIh3IcU,1902675086617751690,https://pbs.twimg.com/media/Gmeo5qfbkAAgacB.jpg,,in,Aa Ojak Ginanjar,2004,2264,52534,https://x.com/blitzosucker/status/1902675086617751690,536353554,blitzosucker;;
1902963237597159474,Fri Mar 21 05:59:25 +0000 2025,35932,Jamuan hangat untuk para pengkhianat rakyat. #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri #ArtistBersuara #KembalikanTNIkeBarak https://t.co/mrJGcmGFHN,1902963237597159474,https://pbs.twimg.com/media/Gmiu-qObwAA33OY.jpg,,in,,275,823,19002,https://x.com/caracaltamer/status/1902963237597159474,1242287027007016962,caracaltamer;;
1902954918908162347,Fri Mar 21 05:26:22 +0000 2025,6062,YANG KERJANYA LINDUNGIN RAKYAT SEKARANG CUMAN RAKYAT SENDIRI APARATNYA TUKANG PUKUL #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI https://t.co/Lo0wQOLzNh,1902954918908162347,https://pbs.twimg.com/media/GminaDsaEAAucKw.jpg,,in,,42,676,4161,https://x.com/liddolmoonfairy/status/1902954918908162347,1304397018,liddolmoonfairy;;
"1902608823912951954,Thu Mar 20 06:31:07 +0000 2025,3120,Indonesia itu negara demokrasi bukan negara yang diperintah atas keinginan sendiri. #GagalkanRUUTNI #CabutRUUTNI #PeringatanDarurat #IndonesiaGelap https://t.co/PdswNrCHHH,1902608823912951954,https://pbs.twimg.com/media/GmdsozPacAAjS9b.jpg,,in,""Borneo, 🇮🇩 | 8M1T!"",18,708,2455,https://x.com/mmingkiss/status/1902608823912951954,1464418129111662598,mmingkiss";;
"1902598711387287841,Thu Mar 20 05:50:56 +0000 2025,24341,Kita barangkali sudah tamat. [ #TolakRevisiUUTNI #TolakDwifungsiTNI #IndonesiaGelap ] https://t.co/qurBHFph6w,1902598711387287841,https://pbs.twimg.com/media/Gmdjb6gbYAAcZOK.png,,in,""★ — He/him. RPS. Selective. 23+ 🏳️‍🌈";;
Proceed visiting with the precaution:;;
MDNI, Indogov slander, NSFW writer.;;
"—————————————————"",91,252,11838,https://x.com/ANARCHODES/status/1902598711387287841,1757071354816495616,ANARCHODES";;
1903048373021839607,Fri Mar 21 11:37:43 +0000 2025,1182,masa harus ada yang meninggal kaya 1998 si? #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri #TolakRUUKejaksaan https://t.co/LTinDrV68t,1903048373021839607,https://pbs.twimg.com/media/Gmj8aPZbsAAxkaC.jpg,,in,,29,258,787,https://x.com/tee_lvre/status/1903048373021839607,1810351082222268425,tee_lvre;;
1902867981627167008,Thu Mar 20 23:40:55 +0000 2025,28497,HIDUP PEREMPUAN YANG MELAWAN! HIDUP PEREMPUAN YANG MELAWAN! HIDUP PEREMPUAN YANG MELAWAN! HIDUP PEREMPUAN YANG MELAWAN! HIDUP PEREMPUAN YANG MELAWAN! HIDUP PEREMPUAN YANG MELAWAN! #TolakRevisiUUTNI #TolakRUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI https://t.co/LMyq5HxG8c,1902867981627167008,https://pbs.twimg.com/media/GmhYVmQaEAMM1D7.jpg,,in,wonki’s digital diary 🪐,124,1694,18150,https://x.com/hourlyjaeyunki/status/1902867981627167008,1372049891174752259,hourlyjaeyunki;;
1903028821907083761,Fri Mar 21 10:20:02 +0000 2025,8072,AYO TERUS BERISIK JANGAN MAU DIBUNGKAM BALIKIN MILITER KE BARAK GAGALKAN RUU TNI #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI https://t.co/SAns7fBc3o,1903028821907083761,https://pbs.twimg.com/media/GmjqnuCaEAAeNFk.jpg,,in,🇯🇵,63,1240,5733,https://x.com/re41yd05/status/1903028821907083761,1598298551477764097,re41yd05;;
1902974734037553171,Fri Mar 21 06:45:06 +0000 2025,773,Bayangin perempuan makin gaada ruang gerak karena yg diatas isinya org cabul semua #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri #TolakRUUKejaksaan https://t.co/Z75iNBezSm,1902974734037553171,https://pbs.twimg.com/media/Gmi5btdakAApeM4.jpg,,in,Thaienthu/mlbb/random,8,167,623,https://x.com/croazie/status/1902974734037553171,1106876389108547585,croazie;;
